testletid,itemid,alphabet,A,B,C,D
2,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
3,101,Latin,a,b,j,k
3,102,Latin,c d,c d d,j k,j k k
3,1001,Latin,c d,c e,g h,g i
3,1002,Latin,d e,d d f f,j k,j j l l
3,1003,Latin,e f,e h,i j,i l
3,1004,Latin,c d,c e e,h i,h j j
3,1005,Latin,e f,d f,l l m m,k k m m
3,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa
3,1002,Greek,gamma delta,gamma gamma epsilon epsilon,iota kappa,iota iota lambda lambda
3,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
3,1004,Greek,epsilon zeta,epsilon eta eta,kappa lambda,kappa mu mu
3,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota
3,1001,Symbol,% !,% ^,~ $,~ {
3,1002,Symbol,% !,% % ^ ^,# ~,# # $ $
3,1003,Symbol,! ^,! ~,^ #,^ $
3,1004,Symbol,! ^,! # #,$ {,$ = =
3,1005,Symbol,^ #,! #,{ { = =,$ $ = =
4,101,Latin,a,b,j,k
4,102,Latin,c d,c d d,j k,j k k
4,1001,Latin,d e,d f,h i,h j
4,1002,Latin,e f,e e g g,k l,k k m m
4,1003,Latin,f g,f i,j k,j m
4,1004,Latin,d e,d f f,i j,i k k
4,1005,Latin,f g,e g,m m n n,l l n n
4,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
4,1002,Greek,delta epsilon,delta delta zeta zeta,kappa lambda,kappa kappa mu mu
4,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda
4,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu
4,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa
4,1001,Symbol,! ^,! #,$ {,$ =
4,1002,Symbol,! ^,! ! # #,~ $,~ ~ { {
4,1003,Symbol,^ #,^ $,# ~,# {
4,1004,Symbol,^ #,^ ~ ~,{ =,{ : :
4,1005,Symbol,# ~,^ ~,= = : :,{ { : :
5,101,Latin,a,b,j,k
5,102,Latin,c d,c d d,j k,j k k
5,1001,Latin,e f,e g,i j,i k
5,1002,Latin,f g,f f h h,l m,l l n n
5,1003,Latin,g h,g j,k l,k n
5,1004,Latin,e f,e g g,j k,j l l
5,1005,Latin,g h,f h,n n o o,m m o o
5,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu
5,1002,Greek,epsilon zeta,epsilon epsilon eta eta,lambda mu,lambda lambda nu nu
5,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
5,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
5,1005,Greek,zeta eta,epsilon eta,kappa kappa lambda lambda,iota iota lambda lambda
5,1001,Symbol,^ #,^ ~,{ =,{ :
5,1002,Symbol,^ #,^ ^ ~ ~,$ {,$ $ = =
5,1003,Symbol,# ~,# {,~ $,~ =
5,1004,Symbol,# ~,# $ $,= :,= ) )
5,1005,Symbol,~ $,# $,: : ) ),= = ) )
