itemid,alphabet,A,B,C,D,rule_AB,shift_dist,variationid
203,Greek,delta,gamma,theta,eta,"predecessor(all,1)",0,3
204,Greek,epsilon,gamma,theta,zeta,"predecessor(all,2)",0,3
205,Greek,gamma delta,gamma delta delta,theta iota,theta iota iota,"repetition(second,2)",0,3
206,Greek,gamma delta,gamma gamma delta delta,theta iota,theta theta iota iota,"repetition(all,2)",0,3
201,Symbol,%,!,~,$,"successor(all,1)",0,3
202,Symbol,%,^,~,{,"successor(all,2)",0,3
203,Symbol,!,%,~,#,"predecessor(all,1)",0,3
204,Symbol,^,%,=,$,"predecessor(all,2)",0,3
205,Symbol,% !,% ! !,~ $,~ $ $,"repetition(second,2)",0,3
206,Symbol,% !,% % ! !,~ $,~ ~ $ $,"repetition(all,2)",0,3
201,Latin,d,e,i,j,"successor(all,1)",1,4
202,Latin,d,f,i,k,"successor(all,2)",1,4
203,Latin,e,d,i,h,"predecessor(all,1)",1,4
204,Latin,f,d,i,g,"predecessor(all,2)",1,4
205,Latin,d e,d e e,i j,i j j,"repetition(second,2)",1,4
206,Latin,d e,d d e e,i j,i i j j,"repetition(all,2)",1,4
201,Greek,delta,epsilon,iota,kappa,"successor(all,1)",1,4
202,Greek,delta,zeta,iota,lambda,"successor(all,2)",1,4
203,Greek,epsilon,delta,iota,theta,"predecessor(all,1)",1,4
204,Greek,zeta,delta,iota,eta,"predecessor(all,2)",1,4
205,Greek,delta epsilon,delta epsilon epsilon,iota kappa,iota kappa kappa,"repetition(second,2)",1,4
206,Greek,delta epsilon,delta delta epsilon epsilon,iota kappa,iota iota kappa kappa,"repetition(all,2)",1,4
201,Symbol,!,^,$,{,"successor(all,1)",1,4
202,Symbol,!,#,$,=,"successor(all,2)",1,4
203,Symbol,^,!,$,~,"predecessor(all,1)",1,4
204,Symbol,#,!,:,{,"predecessor(all,2)",1,4
205,Symbol,! ^,! ^ ^,$ {,$ { {,"repetition(second,2)",1,4
206,Symbol,! ^,! ! ^ ^,$ {,$ $ { {,"repetition(all,2)",1,4
201,Latin,e,f,j,k,"successor(all,1)",2,5
202,Latin,e,g,j,l,"successor(all,2)",2,5
203,Latin,f,e,j,i,"predecessor(all,1)",2,5
204,Latin,g,e,j,h,"predecessor(all,2)",2,5
205,Latin,e f,e f f,j k,j k k,"repetition(second,2)",2,5
206,Latin,e f,e e f f,j k,j j k k,"repetition(all,2)",2,5
201,Greek,epsilon,zeta,kappa,lambda,"successor(all,1)",2,5
202,Greek,epsilon,eta,kappa,mu,"successor(all,2)",2,5
203,Greek,zeta,epsilon,kappa,iota,"predecessor(all,1)",2,5
204,Greek,eta,epsilon,kappa,theta,"predecessor(all,2)",2,5
205,Greek,epsilon zeta,epsilon zeta zeta,kappa lambda,kappa lambda lambda,"repetition(second,2)",2,5
206,Greek,epsilon zeta,epsilon epsilon zeta zeta,kappa lambda,kappa kappa lambda lambda,"repetition(all,2)",2,5
201,Symbol,^,#,{,=,"successor(all,1)",2,5
202,Symbol,^,~,{,:,"successor(all,2)",2,5
203,Symbol,#,^,{,$,"predecessor(all,1)",2,5
204,Symbol,~,^,),=,"predecessor(all,2)",2,5
205,Symbol,^ #,^ # #,{ =,{ = =,"repetition(second,2)",2,5
206,Symbol,^ #,^ ^ # #,{ =,{ { = =,"repetition(all,2)",2,5
