model,rowid,timestamp,itemid,prev_next,prev_next_dist,alphabet,stimulus,solution,response,template_nr
claude-3-sonnet-20240229,53,20241028223220,227,prev,2,Greek,eta,epsilon,epsilon,0
claude-3-sonnet-20240229,54,20241028223221,317,next,1,Greek,eta,theta,theta,0
claude-3-sonnet-20240229,55,20241028223222,327,next,2,Greek,eta,iota,iota,0
claude-3-sonnet-20240229,56,20241028223222,217,prev,1,Symbol,~,#,#,0
claude-3-sonnet-20240229,57,20241028223223,227,prev,2,Symbol,~,^,^,0
claude-3-sonnet-20240229,58,20241028223224,317,next,1,Symbol,~,$,$,0
claude-3-sonnet-20240229,59,20241028223224,327,next,2,Symbol,~,{,$,0
claude-3-sonnet-20240229,60,20241028223224,218,prev,1,Latin,h,g,g,0
claude-3-sonnet-20240229,61,20241028223225,228,prev,2,Latin,h,f,f,0
claude-3-sonnet-20240229,62,20241028223225,318,next,1,Latin,h,i,i,0
claude-3-sonnet-20240229,63,20241028223226,328,next,2,Latin,h,j,j,0
claude-3-sonnet-20240229,64,20241028223227,218,prev,1,Greek,theta,eta,eta,0
claude-3-sonnet-20240229,65,20241028223227,228,prev,2,Greek,theta,zeta,eta,0
claude-3-sonnet-20240229,66,20241028223228,318,next,1,Greek,theta,iota,iota,0
claude-3-sonnet-20240229,67,20241028223228,328,next,2,Greek,theta,kappa,kappa,0
claude-3-sonnet-20240229,68,20241028223229,218,prev,1,Symbol,$,~,#,0
claude-3-sonnet-20240229,69,20241028223229,228,prev,2,Symbol,$,#,~,0
claude-3-sonnet-20240229,70,20241028223230,318,next,1,Symbol,$,{,{,0
claude-3-sonnet-20240229,71,20241028223231,328,next,2,Symbol,$,=,},0
