"","model","testletid","itemid","alphabet","A","B","C","D","item_prompt","response","cleaned_response","correct_response","correct","stringdist","model_short","participant_id","participant_group","exclude","exclude_comment"
"19","gpt-4o-2024-08-06",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"20","gpt-4o-2024-08-06",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g","e g","e g",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"21","gpt-4o-2024-08-06",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j","h h j j","h h j j",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"22","gpt-4o-2024-08-06",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g j","g j","g j",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"23","gpt-4o-2024-08-06",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f h h","f h h","f h h",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"24","gpt-4o-2024-08-06",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i i k k","i i k k","i i k k",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"25","gpt-4o-2024-08-06",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"26","gpt-4o-2024-08-06",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota","eta eta iota iota","eta eta iota iota",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"27","gpt-4o-2024-08-06",1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta","If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta","epsilon theta","epsilon theta",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"28","gpt-4o-2024-08-06",1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"29","gpt-4o-2024-08-06",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","alpha alpha eta eta","alpha alpha eta eta","epsilon epsilon eta eta",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"30","gpt-4o-2024-08-06",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ ~","^ ~","^ ~",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"31","gpt-4o-2024-08-06",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! ^ ^","! ! ^ ^","! ! # #",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"32","gpt-4o-2024-08-06",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","^ @","^ @","% #",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"33","gpt-4o-2024-08-06",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# ! !","# ! !","# $ $",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"34","gpt-4o-2024-08-06",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","@ @ $ $","@ @ $ $","# # $ $",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA
"35","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"36","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"37","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g","e g","e g",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"38","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j","h h j j","h h j j",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"39","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g j","g j","g j",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"40","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f g g","f g g","f h h",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"41","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i j k k","i j k k","i i k k",0,1,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"42","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"43","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota","eta eta iota iota","eta eta iota iota",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"44","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta","If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta","epsilon theta","epsilon theta",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"45","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"46","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","epsilon epsilon eta eta","epsilon epsilon eta eta","epsilon epsilon eta eta",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"47","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ ~","^ ~","^ ~",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"48","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! ~ ~","! ! ~ ~","! ! # #",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"49","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","% ^","% ^","% #",0,1,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"50","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# ~ ~","# ~ ~","# $ $",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"51","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","! ! $ $","! ! $ $","# # $ $",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA
"52","google/gemma-2-27b-it",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"53","google/gemma-2-27b-it",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k 
","j k k","j k k",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"54","google/gemma-2-27b-it",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g 
","e g","e g",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"55","google/gemma-2-27b-it",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j 
","h h j j","h h j j",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"56","google/gemma-2-27b-it",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g i 
","g i","g j",0,1,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"57","google/gemma-2-27b-it",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f g g 
","f g g","f h h",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"58","google/gemma-2-27b-it",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i i k k 
","i i k k","i i k k",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"59","google/gemma-2-27b-it",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta 
","zeta theta","zeta theta",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"60","google/gemma-2-27b-it",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta kappa kappa 
","eta eta kappa kappa","eta eta iota iota",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"61","google/gemma-2-27b-it",1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta","If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta 
","epsilon theta","epsilon theta",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"62","google/gemma-2-27b-it",1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa 
","theta kappa kappa","theta kappa kappa",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"63","google/gemma-2-27b-it",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","alpha alpha eta eta 
","alpha alpha eta eta","epsilon epsilon eta eta",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"64","google/gemma-2-27b-it",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ $","^ $","^ ~",0,1,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"65","google/gemma-2-27b-it",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! $ $","! ! $ $","! ! # #",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"66","google/gemma-2-27b-it",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","^ !","^ !","% #",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"67","google/gemma-2-27b-it",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# ! !","# ! !","# $ $",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"68","google/gemma-2-27b-it",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","@ !","@ !","# # $ $",0,4,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA
"69","claude-3-5-sonnet-20241022",10,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"70","claude-3-5-sonnet-20241022",10,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"71","claude-3-5-sonnet-20241022",10,1001,"Latin","d e","d f","h i","h j","If d e changes to d f, what does h i change to ?","h j","h j","h j",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"72","claude-3-5-sonnet-20241022",10,1002,"Latin","c d","c c e e","m n","m m o o","If c d changes to c c e e, what does m n change to ?","m m n n","m m n n","m m o o",0,2,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"73","claude-3-5-sonnet-20241022",10,1003,"Latin","e f","e h","i j","i l","If e f changes to e h, what does i j change to ?","i l","i l","i l",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"74","claude-3-5-sonnet-20241022",10,1004,"Latin","c d","c e e","h i","h j j","If c d changes to c e e, what does h i change to ?","h j j","h j j","h j j",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"75","claude-3-5-sonnet-20241022",10,1005,"Latin","f g","e g","m m n n","l l n n","If f g changes to e g, what does m m n n change to ?","l m n n","l m n n","l l n n",0,1,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"76","claude-3-5-sonnet-20241022",10,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda","If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda","iota lambda","iota lambda",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"77","claude-3-5-sonnet-20241022",10,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu","If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa lambda lambda","kappa kappa lambda lambda","kappa kappa mu mu",0,2,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"78","claude-3-5-sonnet-20241022",10,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa","If gamma delta changes to gamma zeta, what does eta theta change to ?","eta iota","eta iota","eta kappa",0,1,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"79","claude-3-5-sonnet-20241022",10,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu","If epsilon zeta changes to epsilon eta eta, what does kappa lambda change to ?","kappa lambda lambda","kappa lambda lambda","kappa mu mu",0,2,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"80","claude-3-5-sonnet-20241022",10,1005,"Greek","epsilon zeta","delta zeta","iota iota kappa kappa","theta theta kappa kappa","If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?","theta theta kappa kappa","theta theta kappa kappa","theta theta kappa kappa",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"81","claude-3-5-sonnet-20241022",10,1001,"Symbol","! ^","! #","$ {","$ =","If ! ^ changes to ! #, what does $ { change to ?","$ =","$ =","$ =",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"82","claude-3-5-sonnet-20241022",10,1002,"Symbol","% !","% % ^ ^","= :","= = ) )","If % ! changes to % % ^ ^, what does = : change to ?","= = : :","= = : :","= = ) )",0,2,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"83","claude-3-5-sonnet-20241022",10,1003,"Symbol","! ^","! ~","^ #","^ $","If ! ^ changes to ! ~, what does ^ # change to ?","^ $","^ $","^ $",1,0,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"84","claude-3-5-sonnet-20241022",10,1004,"Symbol","! ^","! # #","$ {","$ = =","If ! ^ changes to ! # #, what does $ { change to ?","$ { {","$ { {","$ = =",0,2,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"85","claude-3-5-sonnet-20241022",10,1005,"Symbol","# ~","^ ~","= = : :","{ { : :","If # ~ changes to ^ ~, what does = = : : change to ?","^ ^ : :","^ ^ : :","{ { : :",0,2,"Claude-3.5","Claude-3.5_10","Claude-3.5",NA,NA
"86","gpt-4o-2024-08-06",10,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"87","gpt-4o-2024-08-06",10,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"88","gpt-4o-2024-08-06",10,1001,"Latin","d e","d f","h i","h j","If d e changes to d f, what does h i change to ?","h j","h j","h j",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"89","gpt-4o-2024-08-06",10,1002,"Latin","c d","c c e e","m n","m m o o","If c d changes to c c e e, what does m n change to ?","m m o o","m m o o","m m o o",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"90","gpt-4o-2024-08-06",10,1003,"Latin","e f","e h","i j","i l","If e f changes to e h, what does i j change to ?","i l","i l","i l",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"91","gpt-4o-2024-08-06",10,1004,"Latin","c d","c e e","h i","h j j","If c d changes to c e e, what does h i change to ?","h j j","h j j","h j j",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"92","gpt-4o-2024-08-06",10,1005,"Latin","f g","e g","m m n n","l l n n","If f g changes to e g, what does m m n n change to ?","l l n n","l l n n","l l n n",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"93","gpt-4o-2024-08-06",10,1001,"Greek","epsilon zeta","epsilon eta","iota kappa","iota lambda","If epsilon zeta changes to epsilon eta, what does iota kappa change to ?","iota lambda","iota lambda","iota lambda",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"94","gpt-4o-2024-08-06",10,1002,"Greek","gamma delta","gamma gamma epsilon epsilon","kappa lambda","kappa kappa mu mu","If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?","kappa kappa mu mu","kappa kappa mu mu","kappa kappa mu mu",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"95","gpt-4o-2024-08-06",10,1003,"Greek","gamma delta","gamma zeta","eta theta","eta kappa","If gamma delta changes to gamma zeta, what does eta theta change to ?","eta iota","eta iota","eta kappa",0,1,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"96","gpt-4o-2024-08-06",10,1004,"Greek","epsilon zeta","epsilon eta eta","kappa lambda","kappa mu mu","If epsilon zeta changes to epsilon eta eta, what does kappa lambda change to ?","kappa mu mu","kappa mu mu","kappa mu mu",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"97","gpt-4o-2024-08-06",10,1005,"Greek","epsilon zeta","delta zeta","iota iota kappa kappa","theta theta kappa kappa","If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?","theta theta kappa kappa","theta theta kappa kappa","theta theta kappa kappa",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"98","gpt-4o-2024-08-06",10,1001,"Symbol","! ^","! #","$ {","$ =","If ! ^ changes to ! #, what does $ { change to ?","$ =","$ =","$ =",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"99","gpt-4o-2024-08-06",10,1002,"Symbol","% !","% % ^ ^","= :","= = ) )","If % ! changes to % % ^ ^, what does = : change to ?","= = ) )","= = ) )","= = ) )",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"100","gpt-4o-2024-08-06",10,1003,"Symbol","! ^","! ~","^ #","^ $","If ! ^ changes to ! ~, what does ^ # change to ?","^ ~","^ ~","^ $",0,1,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"101","gpt-4o-2024-08-06",10,1004,"Symbol","! ^","! # #","$ {","$ = =","If ! ^ changes to ! # #, what does $ { change to ?","$ = =","$ = =","$ = =",1,0,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"102","gpt-4o-2024-08-06",10,1005,"Symbol","# ~","^ ~","= = : :","{ { : :","If # ~ changes to ^ ~, what does = = : : change to ?","^ ^ : :","^ ^ : :","{ { : :",0,2,"GPT-4o","GPT-4o_10","GPT-4o",NA,NA
"103","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Llama-3.1 405B","Llama-3.1 405B_10","Llama-3.1 405B",NA,NA
"104","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Llama-3.1 405B","Llama-3.1 405B_10","Llama-3.1 405B",NA,NA
"105","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,1001,"Latin","d e","d f","h i","h j","If d e changes to d f, what does h i change to ?","h j","h j","h j",1,0,"Llama-3.1 405B","Llama-3.1 405B_10","Llama-3.1 405B",NA,NA
"106","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",10,1002,"Latin","c d","c c e e","m n","m m o o","If c d changes to c c e e, what does m n change to ?","m m o o","m m o o","m m o o",1,0,"Llama-3.1 405B","Llama-3.1 405B_10","Llama-3.1 405B",NA,NA
