"","model","testletid","itemid","alphabet","A","B","C","D","item_prompt","response","cleaned_response","correct_response","correct","stringdist","model_short","participant_id","participant_group","exclude","exclude_comment","copy_A","copy_B","copy_C","empty","copy_rule","literal_rule_response","one_rule_rep_response","one_rule_predsuc_response","incorrect_rule_repetition_1_response","incorrect_rule_repetition_2_response","incorrect_rule_successor_1_response","incorrect_rule_successor_2_response","incorrect_rule_predecessor_1_response","incorrect_rule_predecessor_2_response","literal_rule","one_rep_rule","one_predsuc_rule","one_rule","incorrect_rule_repetition_1","incorrect_rule_repetition_2","incorrect_rule_successor_1","incorrect_rule_successor_2","incorrect_rule_predecessor_1","incorrect_rule_predecessor_2","incorrect_rule_rep","incorrect_rule_suc","incorrect_rule_pre","incorrect_rule","other_rule","sum_rules"
"12","claude-3-5-sonnet-20241022",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","zeta zeta theta theta","zeta zeta theta theta","epsilon epsilon eta eta",0,4,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA,0,0,0,0,0,"alpha alpha eta eta","","epsilon epsilon zeta zeta","zeta zeta eta eta eta","zeta zeta zeta zeta eta eta eta eta","zeta zeta eta theta","zeta zeta eta iota","epsilon zeta eta eta","delta zeta eta eta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"13","claude-3-5-sonnet-20241022",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ ~","^ ~","^ ~",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA,0,0,0,0,0,"^ %","","","^ # #","^ ^ # #","^ ~","^ $","! #","% #",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14","claude-3-5-sonnet-20241022",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! # #","! ! # #","! ! # #",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA,0,0,0,0,0,"! ! % %","! ! ^ ^","! #","! ^ ^","! ! ^ ^","! #","! ~","% ^","@ ^",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15","claude-3-5-sonnet-20241022",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","% #","% #","% #",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA,0,0,0,0,0,"% ^","","% ^","% ! !","% % ! !","% ^","% #","@ !","* !",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16","claude-3-5-sonnet-20241022",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# $ $","# $ $","# $ $",1,0,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA,0,0,0,0,0,"# ! !","# ~ ~","# $","# ~ ~","# # ~ ~","# $","# {","^ ~","! ~",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17","claude-3-5-sonnet-20241022",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","~ ~ { {","~ ~ { {","# # $ $",0,4,"Claude-3.5","Claude-3.5_1","Claude-3.5",NA,NA,0,0,0,0,0,"@ @ $ $","","# # ~ ~","~ ~ $ $ $","~ ~ ~ ~ $ $ $ $","~ ~ $ {","~ ~ $ =","# ~ $ $","^ ~ $ $",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"18","gpt-4o-2024-08-06",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"b","","","j j","j j","k","l","i","h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","gpt-4o-2024-08-06",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"j d d","","","j k k","j j k k","j l","j m","i k","h k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20","gpt-4o-2024-08-06",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g","e g","e g",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"e c","","","e f f","e e f f","e g","e h","d f","c f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21","gpt-4o-2024-08-06",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j","h h j j","h h j j",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"h h d d","h h i i","h j","h i i","h h i i","h j","h k","g i","f i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22","gpt-4o-2024-08-06",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g j","g j","g j",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"g f","","g i","g h h","g g h h","g i","g j","f h","e h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23","gpt-4o-2024-08-06",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f h h","f h h","f h h",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"f c c","f g g","f h","f g g","f f g g","f h","f i","e g","d g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24","gpt-4o-2024-08-06",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i i k k","i i k k","i i k k",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"b b k k","","i i j j","j j k k k","j j j j k k k k","j j k l","j j k m","i j k k","h j k k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25","gpt-4o-2024-08-06",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"zeta delta","","","zeta eta eta","zeta zeta eta eta","zeta theta","zeta iota","epsilon eta","delta eta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26","gpt-4o-2024-08-06",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota","eta eta iota iota","eta eta iota iota",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"eta eta gamma gamma","eta eta theta theta","eta iota","eta theta theta","eta eta theta theta","eta iota","eta kappa","zeta theta","epsilon theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27","gpt-4o-2024-08-06",1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta","If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta","epsilon theta","epsilon theta",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"epsilon delta","","epsilon eta","epsilon zeta zeta","epsilon epsilon zeta zeta","epsilon eta","epsilon theta","delta zeta","gamma zeta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28","gpt-4o-2024-08-06",1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"theta epsilon epsilon","theta iota iota","theta kappa","theta iota iota","theta theta iota iota","theta kappa","theta lambda","eta iota","zeta iota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29","gpt-4o-2024-08-06",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","alpha alpha eta eta","alpha alpha eta eta","epsilon epsilon eta eta",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"alpha alpha eta eta","","epsilon epsilon zeta zeta","zeta zeta eta eta eta","zeta zeta zeta zeta eta eta eta eta","zeta zeta eta theta","zeta zeta eta iota","epsilon zeta eta eta","delta zeta eta eta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"30","gpt-4o-2024-08-06",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ ~","^ ~","^ ~",1,0,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"^ %","","","^ # #","^ ^ # #","^ ~","^ $","! #","% #",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31","gpt-4o-2024-08-06",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! ^ ^","! ! ^ ^","! ! # #",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"! ! % %","! ! ^ ^","! #","! ^ ^","! ! ^ ^","! #","! ~","% ^","@ ^",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"32","gpt-4o-2024-08-06",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","^ @","^ @","% #",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"% ^","","% ^","% ! !","% % ! !","% ^","% #","@ !","* !",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"33","gpt-4o-2024-08-06",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# ! !","# ! !","# $ $",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"# ! !","# ~ ~","# $","# ~ ~","# # ~ ~","# $","# {","^ ~","! ~",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34","gpt-4o-2024-08-06",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","@ @ $ $","@ @ $ $","# # $ $",0,2,"GPT-4o","GPT-4o_1","GPT-4o",NA,NA,0,0,0,0,0,"@ @ $ $","","# # ~ ~","~ ~ $ $ $","~ ~ ~ ~ $ $ $ $","~ ~ $ {","~ ~ $ =","# ~ $ $","^ ~ $ $",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"b","","","j j","j j","k","l","i","h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k","j k k","j k k",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"j d d","","","j k k","j j k k","j l","j m","i k","h k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"37","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g","e g","e g",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"e c","","","e f f","e e f f","e g","e h","d f","c f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j","h h j j","h h j j",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"h h d d","h h i i","h j","h i i","h h i i","h j","h k","g i","f i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g j","g j","g j",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"g f","","g i","g h h","g g h h","g i","g j","f h","e h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"40","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f g g","f g g","f h h",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"f c c","f g g","f h","f g g","f f g g","f h","f i","e g","d g",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"41","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i j k k","i j k k","i i k k",0,1,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"b b k k","","i i j j","j j k k k","j j j j k k k k","j j k l","j j k m","i j k k","h j k k",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
"42","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta","zeta theta","zeta theta",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"zeta delta","","","zeta eta eta","zeta zeta eta eta","zeta theta","zeta iota","epsilon eta","delta eta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"43","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota","eta eta iota iota","eta eta iota iota",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"eta eta gamma gamma","eta eta theta theta","eta iota","eta theta theta","eta eta theta theta","eta iota","eta kappa","zeta theta","epsilon theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta","If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta","epsilon theta","epsilon theta",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"epsilon delta","","epsilon eta","epsilon zeta zeta","epsilon epsilon zeta zeta","epsilon eta","epsilon theta","delta zeta","gamma zeta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"45","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa","If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa","theta kappa kappa","theta kappa kappa",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"theta epsilon epsilon","theta iota iota","theta kappa","theta iota iota","theta theta iota iota","theta kappa","theta lambda","eta iota","zeta iota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"46","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta","If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","epsilon epsilon eta eta","epsilon epsilon eta eta","epsilon epsilon eta eta",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"alpha alpha eta eta","","epsilon epsilon zeta zeta","zeta zeta eta eta eta","zeta zeta zeta zeta eta eta eta eta","zeta zeta eta theta","zeta zeta eta iota","epsilon zeta eta eta","delta zeta eta eta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"47","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1001,"Symbol","* @","* %","^ #","^ ~","If * @ changes to * %, what does ^ # change to ?","^ ~","^ ~","^ ~",1,0,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"^ %","","","^ # #","^ ^ # #","^ ~","^ $","! #","% #",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1002,"Symbol","* @","* * % %","! ^","! ! # #","If * @ changes to * * % %, what does ! ^ change to ?","! ! ~ ~","! ! ~ ~","! ! # #",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"! ! % %","! ! ^ ^","! #","! ^ ^","! ! ^ ^","! #","! ~","% ^","@ ^",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"49","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1003,"Symbol","@ %","@ ^","% !","% #","If @ % changes to @ ^, what does % ! change to ?","% ^","% ^","% #",0,1,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"% ^","","% ^","% ! !","% % ! !","% ^","% #","@ !","* !",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"50","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1004,"Symbol","@ %","@ ! !","# ~","# $ $","If @ % changes to @ ! !, what does # ~ change to ?","# ~ ~","# ~ ~","# $ $",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"# ! !","# ~ ~","# $","# ~ ~","# # ~ ~","# $","# {","^ ~","! ~",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"51","meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo",1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $","If % ! changes to @ !, what does ~ ~ $ $ change to ?","! ! $ $","! ! $ $","# # $ $",0,2,"Llama-3.1 405B","Llama-3.1 405B_1","Llama-3.1 405B",NA,NA,0,0,0,0,0,"@ @ $ $","","# # ~ ~","~ ~ $ $ $","~ ~ ~ ~ $ $ $ $","~ ~ $ {","~ ~ $ =","# ~ $ $","^ ~ $ $",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"52","google/gemma-2-27b-it",1,101,"Latin","a","b","j","k","If a changes to b, what does j change to ?","k","k","k",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"b","","","j j","j j","k","l","i","h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"53","google/gemma-2-27b-it",1,102,"Latin","c d","c d d","j k","j k k","If c d changes to c d d, what does j k change to ?","j k k 
","j k k","j k k",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"j d d","","","j k k","j j k k","j l","j m","i k","h k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"54","google/gemma-2-27b-it",1,1001,"Latin","a b","a c","e f","e g","If a b changes to a c, what does e f change to ?","e g 
","e g","e g",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"e c","","","e f f","e e f f","e g","e h","d f","c f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"55","google/gemma-2-27b-it",1,1002,"Latin","b c","b b d d","h i","h h j j","If b c changes to b b d d, what does h i change to ?","h h j j 
","h h j j","h h j j",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"h h d d","h h i i","h j","h i i","h h i i","h j","h k","g i","f i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"56","google/gemma-2-27b-it",1,1003,"Latin","c d","c f","g h","g j","If c d changes to c f, what does g h change to ?","g i 
","g i","g j",0,1,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"g f","","g i","g h h","g g h h","g i","g j","f h","e h",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"57","google/gemma-2-27b-it",1,1004,"Latin","a b","a c c","f g","f h h","If a b changes to a c c, what does f g change to ?","f g g 
","f g g","f h h",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"f c c","f g g","f h","f g g","f f g g","f h","f i","e g","d g",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"58","google/gemma-2-27b-it",1,1005,"Latin","c d","b d","j j k k","i i k k","If c d changes to b d, what does j j k k change to ?","i i k k 
","i i k k","i i k k",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"b b k k","","i i j j","j j k k k","j j j j k k k k","j j k l","j j k m","i j k k","h j k k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"59","google/gemma-2-27b-it",1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta","If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta 
","zeta theta","zeta theta",1,0,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"zeta delta","","","zeta eta eta","zeta zeta eta eta","zeta theta","zeta iota","epsilon eta","delta eta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60","google/gemma-2-27b-it",1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota","If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta kappa kappa 
","eta eta kappa kappa","eta eta iota iota",0,2,"Gemma-2 27B","Gemma-2 27B_1","Gemma-2 27B",NA,NA,0,0,0,0,0,"eta eta gamma gamma","eta eta theta theta","eta iota","eta theta theta","eta eta theta theta","eta iota","eta kappa","zeta theta","epsilon theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
